infrared_value,mq2_value,humidity,temperature,label
1,289,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,288,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,289,85.0,25.3,1
1,290,85.0,25.3,1
1,290,85.0,25.3,1
1,290,85.0,25.3,1
1,290,85.0,25.3,1
1,291,85.0,25.3,1
1,291,85.0,25.3,1
1,291,85.0,25.3,1
1,292,85.0,25.3,1
1,292,85.0,25.3,1
1,292,85.0,25.3,1
1,291,85.0,25.3,1
1,292,85.0,25.3,1
1,291,85.0,25.3,1
1,291,85.0,25.3,1
1,291,85.0,25.3,1
1,291,85.0,25.3,1
1,290,85.0,25.3,1
0,290,85.0,25.3,1
1,291,85.0,25.3,1
1,282,88.0,25.8,1
0,283,88.0,25.8,1
1,295,88.0,25.8,1
1,283,88.0,25.8,1
1,285,90.0,25.8,1
1,286,90.0,25.8,1
1,287,90.0,25.8,1
1,287,90.0,25.8,1
1,287,89.0,25.8,1
1,287,89.0,25.8,1
1,287,89.0,25.8,1
1,288,89.0,25.8,1
1,288,88.0,25.8,1
1,288,88.0,25.8,1
1,289,88.0,25.8,1
1,289,88.0,25.8,1
1,307,87.0,25.8,1
1,324,87.0,25.8,1
1,330,87.0,25.8,1
1,333,87.0,25.8,1
1,331,87.0,26.2,1
1,328,87.0,26.2,1
1,324,87.0,26.2,1
1,320,87.0,26.2,1
1,317,87.0,26.2,1
1,315,87.0,26.2,1
